1,Writing Studies
1,Women's Studies
6,Visual Arts
5,Transitional Justice
8,Theory and Criticism
2,Theology and Religion
2,Theatre Studies
4,Thanatology
4,Surgery
6,Statistical and Actuarial Sciences
8,Sociology
4,Social Work
4,Social Justice Studies
2,Public Administration
8,Psychology
8,Psychiatry
7,Planetary Science
7,Physiology and Pharmacology
4,Physical Sciences
4,Physical Medicine and Rehabilitation
4,Paediatrics
3,Otolaryngology
3,Ophthalmology
3,Oncology and Palliative Care
3,Occupational Therapy
3,Obstetrics and Gynaecology
5,Nonprofit Management
10,Neuroscience
7,Migration and Ethnic Relations
4,Microbiology and Immunology
4,Medical Imaging
4,Medical Biophysics
2,Media Studies
8,Management and Organizational Studies
8,Information Science
3,Law
8,Languages and Cultures
4,Kinesiology
2,Journalism
1,Italian
3,Indigenous Studies
3,History of Medicine
6,History
6,Health Studies
6,Global Studies
1,German
3,Geography
4,Genetics
5,General and Internal Medicine
1,French
5,Food and Nutritional Sciences
1,Film Studies
2,Family Studies
2,Family Medicine
3,Epidemiology and Biostatistics
5,Environmental Science
6,Sustainability
9,English
10,Engineering: Software
8,Engineering: Mechanical and Materials
10,Engineering: Electrical and Computer
8,Engineering: Civil and Environmental
10,Engineering: Chemical and Biochemical
10,Engineering: Biomedical
9,Engineering Science
5,Education
9,Economics
7,Earth Sciences
6,Digital Humanities
2,Dentistry
1,Dance
1,Conservation Biology
10,Computer Science
1,Comparative Literature
4,Community Development
10,Communication Sciences
6,Communication Disorders
1,Clinical Outreach
1,Classical Studies
5,Childhood
7,Chemistry
5,Cell Biology
10,Business
5,Biology
5,Biochemistry
7,Medical Science
6,Astronomy
5,Archaeology
10,Applied Mathematics
8,Anthropology
1,Animal Physiology
1,Perioperative Medicine
4,Anatomy
1,American Studies
1,Arabic
8,Business Technology Management
4,Canadian Studies
6,Biochemistry
1,Classics
8,Communication Studies
5,Coronavirus Disease (COVID-19)
1,Criminology
6,Cultural Analysis and Social Theory
6,Cultural Studies
9,Data and Statistics
10,Data Science
1,Digital Media and Journalism
10,Game Design and Development
10,Geography and Environmental Studies
4,Global Citizenship
4,Global Governance
1,Government Information
9,Health Sciences
5,Human Rights and Human Diversity
8,Interdisciplinary
5,International Public Policy
5,Languages and Literatures
5,Law and Society
8,Leadership
5,Legal Information
10,Mathematics
1,Medieval Studies
1,Mediterranean Studies
3,Music
1,Music Therapy
1,North American Studies
7,Philosophy
10,Physics
1,Policing and Public Safety
3,Political Science
3,Religion and Culture
1,Social and Environmental Justice
2,Spanish
3,Psychotherapy
1,Theological Education
10,User Experience Design
2,Youth and Children Studies
10,Communication
1,Français
10,"Geography, Environment and Geomatics"
6,Modern Languages and Literatures
9,Linguistics
9,Information Studies
1,Translation and Interpretation
10,Chemical and Biological Engineering
5,Nursing
5,Civil Law
5,Common Law
10,"Biochemistry, Microbiology and Immunology"
5,Epidemiology and Public Health
9,Medicine
9,Cellular and Molecular Medicine
1,National Aboriginal Health Organization
9,Pathology and Laboratory Medicine
2,Pediatrics
10,Chemistry and Biomolecular Sciences
10,Mathematics and Statistics
10,Earth and Environmental Sciences
5,Public and International Affairs
